제목 형태소,본문 형태소
"['히틀러', '대중', '방법']",[]
"['니', '태용', '얼굴']","['태', '용이', '니', '평생', '이태용', '발작', '이태용', '그냥', '졸라', '임', '오늘', '사진', '한장', '성희롱', '얼평', '별', '부모님', '보시', '열폭', '좀', '하자']"
"['아이즈', '멤버', '근황']","['권', '은비', '팔로', '우미', '최근', '솔로', '데뷔', '앨범', '마무리', '사쿠라', '김', '채원', '하이브로', '이적', '일본', '화장품', '브랜드', '모델강', '혜원', '일진', '때', '웹', '드라마', '캐스팅', '개인', '유튜브', '활동', '우리', '식구', '예능', '촬영', '최예나', '예나', '동물', '탐정', '예능', '솔로', '앨범', '준비', '이채연', '스트릿', '우먼', '파이터', '크루', '윈트', '출연', '겟잇뷰티', '박스', '김', '채원', '사쿠라', '하이브로', '이적', '김민주', '음악중심', '구', '숙소', '예능', '나코', '그룹', '활동', '일본', '공중파', '예능', '방송', '단독', '번', '출연', '의류', '브랜드', '키르', '시', '모델', '히토미', '그룹', '활동', '이번', '최근', '신곡', '선발', '멤버', '활동', '나코', '키르', '시', '모델', '조유리', '화장품', '브랜드', '컬러', '그램', '톡', '글로벌', '뮤즈', '이석훈', '듀엣', '가을', '상자', '일', '발매', '예정', '안유진', '인기가요', '펩시', '광고', '장원영', '화장품', '브랜드', '이니스프리', '모델', '미우미우', '걸']"
"['나', '동네', '짐', '떡']","['엄마', '만원', '거', '가방', '두', '식탁', '의자', '엄마', '가방', '차', '타고', '시골', '길', '엄마', '어디', '다가', '놨냐', '엄마', '가방', '거기', '그', '가방', '시골', '고갈', '거', '생각', '너', '생각', '갓길', '차', '너', '집', '가라', '당장', '소리', '수', '돈', '핸드폰', '배터리', '여기', '어딘지']"
"['남편', '보고', '식', '데', '제', '식']","['거두', '절미', '제목', '처럼', '제', '대요', '이유', '요', '저', '일단', '하루', '끼', '그것', '이유', '아이', '둘', '덧', '살이', '좀', '아이', '전', '누가', '사람', '날', '다른', '사람', '제', '사진', '준걸', '내', '운동', '다시', '시작', '아이', '전보', '더', '보기', '몸', '하루', '끼', '무조건', '해소', '또', '술', '애', '꼭', '소주', '한잔', '데', '인지', '다음', '날', '무조건', '국물', '신랑', '식탐', '이야기', '저', '제', '꼭', '수', '못', '상황', '짜증', '나', '예', '저', '칼국수', '집', '애', '칼국수', '집', '간', '애', '아빠', '애', '의견', '따라서', '칼국수', '맛', '애', '를', '를', '다정', '우린', '는가', '라합', '다그', '럼', '저', '마음', '제', '마음', '그게', '짜증', '짜증', '식탐', '저', '제', '만큼', '예', '짬뽐곱배기', '밥', '말', '때', '보도', '밥', '말', '나', '숟가락', '여기', '그냥', '나', '밥', '공기', '숟가락', '허용', '반', '퍼가', '짜증', '공기', '너', '반', '내', '공기', '반', '일', '왜', '내', '양', '식탐', '요', '내', '니', '밥', '니', '짬뽕', '국물', '나', '그냥', '사람', '이', '거', '때문', '짜증', '난', '것', '자체', '식탐', '요하', '식탐', '식탐', '저', '진짜', '제', '식탐', '자제', '또', '저', '식당', '밥', '때', '반찬', '메인', '반찬', '회정', '리필', '요구', '때', '신랑', '하라', '경고', '식탐', '부리', '식탐']"
"['난', '원래', '쌍', '풀', '애', '요즘', '투바', '투', '준', '방탄', '뷔', '무쌍', '관심', '감']","['그냥', '하이브', '상', '건가']"
"['수진', '재', '합류']","['가능성', '건가', '라나', '결과', '재', '합류', '재능', '뭣', '수진', '무대', '거', '다시']"
"['스키', '승민', '이', '사진']","['진짜', '데이', '식스', '케이', '필']"
"['예단', '시아버지', '순', '선물', '꼭', '하나요']","['현재', '상견례', '후', '신혼집', '동거', '올해', '월', '결혼', '신입', '니', '예비신랑', '볼', '예정', '분', '고견', '보기', '위해', '체', '사용', '양해', '예비신랑', '연봉', '후', '만원', '고정', '적금', '총', '만원', '청약', '통장', '만원', '종신', '보험', '만원', '순수', '부모님', '부어', '주심', '결혼', '얘기', '계약', '변경', '예비신랑', '대출', '본인', '돈', '개월전', '마련', '아반떼', '신형', '소유', '동거', '전', '거주', '빌라', '전세', '만원', '중', '만원', '회사', '대출', '만원', '부모님', '지원', '결혼', '후', '필요', '예비신랑', '소유', '경기도', '외곽', '평', '아파트', '청약', '당첨', '월초', '신혼집', '입', '주해', '현재', '동거', '회사', '거리', '집값', '억', '천', '중', '예비신랑', '적금', '청약', '통장', '만원', '부모님', '지원', '만원', '동거', '전', '거주', '빌라', '전세', '값', '만원', '예비신부', '거주', '빌라', '전세', '만원', '예비신부', '부모님', '지원', '나머지', '예비신랑', '은행', '대출', '예비신랑', '명의', '계약', '예물', '예비신랑', '명품', '브랜드', '결혼반지', '목걸이', '본인', '돈', '직접', '구입', '현금', '만원', '예비신랑', '부모님', '상견례', '날', '선물', '명품', '가방', '주심', '만원', '신혼집', '및', '미리', '결혼', '선물', '부모님', '침대', '신혼집', '중문', '베란다', '화장실', '리', '모델링', '비용', '지원', '명품', '브랜드', '화장품', '세트', '해', '주심', '만원', '예비신부', '집', '인사', '날', '부모님', '예비', '사돈', '댁', '한우', '꽃', '등심', '선물', '세트', '과일', '바구니', '꽃바구니', '백화점', '주심', '만원', '상견례', '식당', '예비신랑', '부모님', '계산', '주심', '만원', '예비', '시부모', '댁', '위치', '지역', '상견례', '때문', '현재', '전세', '자금', '회사', '대출', '전액', '상환', '아파트', '주택', '자금', '대출', '외', '신용카드', '값', '포함', '개인', '대출', '빚', '평소', '성향', '사치', '부모님', '노후', '준비', '억', '건물', '주인', '집', '거주', '월세', '심', '지방', '공시지가', '만원', '토지', '애', '증여', '심', '결혼', '형', '개인', '사정', '아이', '형', '결혼', '자마자', '만원', '가량', '차량', '선물', '때문', '형', '부부', '해당', '토지', '예비신랑', '증여', '입장', '예비신부', '연봉', '후', '만원', '고정', '적금', '총', '청약', '자차', '면허', '교통사고', '트라우마', '운전', '생각', '동거', '전', '거주', '빌라', '전세', '만원', '모두', '부모님', '지원', '결혼', '후', '필요', '예비신부', '소유', '아파트', '값', '보탬혼수', '디지털프라자', '만원', '어치', '가전제품', '현금', '완납', '부모님', '신혼여행', '비용', '제주도', '비행기', '왕복', '호텔', '예비신랑', '댁', '인사', '날', '유명', '카페', '케이크', '꽃다발', '예비신부', '지역', '특산', '물', '선물', '드림', '만원', '이바지', '음식', '부모님', '지원', '직접', '생각', '한우', '떡', '과일', '만원', '지출', '예정', '대출', '빚', '평소', '성향', '사치', '부모님', '분', '모두', '공무원', '노후', '공무원', '연금', '분', '예정', '시세', '억', '자가', '거주', '이심', '결혼식', '비용', '각자', '축의금', '각자', '비용', '계산', '합의', '금액', '각자', '부모님', '함', '결혼', '후', '경제권', '예비신부', '관리', '예비신랑', '용돈', '만원', '합의', '함', '상견례', '분위기', '진행', '신혼집', '입', '주도', '문제', '갑자기', '예비신랑', '결혼', '형', '분', '예단', '예비신랑', '톡', '내용', '예비신랑', '예물', '예단', '왜', '대답', '예물', '교환', '친척', '예단', '생략', '직계', '부모님', '이불', '은수저', '세트', '현금', '만원', '정도', '예단', '신혼여행', '부모님', '약소', '선물', '심', '신혼여행', '천혜향', '오메', '떡', '려고', '생각', '후', '예비신랑', '답장', '월', '예비', '시아버지', '우리', '결혼식', '직후', '시아버지', '생신', '음', '잔치', '생략', '형제', '각', '만원', '현금', '자고', '함', '예비신랑', '무슨', '만원', '아파트', '구입', '돈', '그냥', '만원', '우리', '예단', '부모', '돈', '심', '예비신랑', '답장', '안', '상태', '마지막', '말', '부모', '돈', '부분', '나', '해당', '말', '혹시', '예비', '시댁', '형', '예단', '문제', '하소연', '건가', '제', '입장', '결혼', '지출', '비용', '연봉', '제', '살짝', '친정', '니', '살', '거', '예비', '시댁', '예물', '예단', '신혼여행', '선물', '결혼식', '직후', '예비', '시아버지', '순', '선물', '만원', '건', '좀', '생각', '함', '평소', '예비', '시부모', '연세', '좀', '분', '여행', '취미', '생활', '사시', '전화', '거의', '예비', '시댁', '가면', '밥상', '다리', '집안일', '비시', '부모님', '존경', '형', '부부', '두', '분', '연락', '일', '거의', '가끔', '항상', '저', '스스로', '복', '생각', '갑자기', '예단', '신혼여행', '선물', '얘기', '벙쪘다', '순', '만원', '얘기', '결혼', '건가', '생각', '결혼', '앞', '무슨', '날', '무슨', '기념', '것', '것', '요구', '것', '기도', '제', '생각', '마음', '건가', '예비신랑', '형님', '기분', '상하', '저', '생각', '전달', '수', '답장', '요']"
"['침대', '테트리스', '아이돌']","['방탄소년단', '자컨', '방탄', '촬영', '중', '잠자리', '상황', '발생', '함', '이', '멤버', '지민', '의견', '데덴찌', '손바닥', '편', '네', '명', '거', '넷', '자', '는걸', '동생', '효율', '수납', '위', '조언', '해', '민슈', '가씨', '멤버', '차례차례', '시작', '지민', '정국진', '뷔', '인간', '테트리스', '완성', '팬', '방탄', '모습', '보고', '옹기종기', '야채', '튀김', '소년단', '방탄']"
